Name,WIGOS ID,Type,Elevation (m),Status,GBON,Latitude,Longitude,OSCAR URL
Bybrook,0-388-349-78397,Surface AWS,188,Unknown,No,18.1825,-76.64416667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113173
Cacoon Castle,0-388-214-78397,Surface AWS,365,Closed,No,18.40388889,-78.01138889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112116
Caenwood,0-388-350-78397,Surface AWS,12,Closed,No,18.20277778,-76.580556,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113182
Cambridge,0-388-620-78397,Surface AWS,183,Closed,No,18.30888889,-77.90666667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126748
Cambridge Estate,0-388-759-78397,Surface AWS,152,Closed,No,18.43333333,-77.596667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127814
Camperdown Primary,0-388-16367-78763,Surface AWS,575,Operational,No,18.220515,-77.15716,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/173562
Canaan,0-388-621-78397,Surface AWS,152,Closed,No,18.418117,-77.7694,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126749
Carew Castle,0-388-453-78397,Surface AWS,305,Closed,No,18.13055556,-76.915278,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/120029
Carlisle Greenwich,0-388-116-78397,Surface AWS,12,Closed,No,17.793202,-77.27405,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111339
Carron Hall,0-388-668-78397,Surface AWS,518,Closed,No,18.27222222,-76.947222,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126796
Carton,0-388-391-78397,Surface AWS,442,Closed,No,18.35444444,-77.19,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113856
Casa Marantha,0-388-561-78397,Surface AWS,0,Closed,No,18.12583333,-77.74111111,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/122177
Cascade,0-388-215-78397,Surface AWS,365,Closed,No,18.395496,-78.10764,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112117
Castleton Gdn,0-388-669-78397,Surface AWS,198,Closed,No,18.169571,-76.825156,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126797
Caswell Hill NY,0-388-117-78397,Surface AWS,27,Closed,No,17.865793,-77.269529,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111340
Catadupa,0-388-622-78397,Surface AWS,396,Closed,No,18.27833333,-77.875,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126750
Catadupa BH FR,0-388-623-78397,Surface AWS,396,Closed,No,18.27833333,-77.876,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126751
Catadupa PWD,0-388-624-78397,Surface AWS,335,Closed,No,18.28083333,-77.875833,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126752
Cavaliers,0-388-247-78397,Surface AWS,53,Closed,No,17.98444444,-76.785556,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112382
Cave Valley,0-388-392-78397,Surface AWS,582,Closed,No,18.22638889,-77.36638889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113857
Cave Valley,0-388-216-78397,Surface AWS,33,Closed,No,18.33472222,-78.27027778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112118
Caymanas Central,0-388-454-78397,Surface AWS,28,Closed,No,18.01888889,-76.90861111,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121044
